cm_code;Type;Attribut;Valeur N-1;Valeur N
590863;Modification;cm_long;24.9399506398;1017.08
590426;Modification;cm_long;0.5803219107;127.45
590230;Modification;cm_long;12.0961273156;252.26
561649;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
935077;Modification;cm_long;257.044793267;423.74
590901;Modification;cm_long;3.4242485073;664.32
590226;Modification;cm_long;71.1894594455;252.26
590921;Modification;cm_long;358.654307848;864.45
590898;Modification;cm_long;42.940337081;371.86
590267;Modification;cm_long;16.7455985949;1017.08
563167;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
591063;Modification;cm_long;8.8038822005;174.62
590430;Modification;cm_long;23.4043211684;1314.54
562560;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
591041;Modification;cm_long;3.3632067165;664.32
591026;Modification;cm_long;13.0442073146;15.65
590202;Modification;cm_long;40.472234132;664.32
8282291;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
8282291;Modification;cm_long;292.361232155;660.3898573
559598;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590272;Modification;cm_long;39.6676847648;453.94
559633;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590825;Modification;cm_long;2.8430140497;2390.73
591062;Modification;cm_long;170.25022343;2482.91
590479;Modification;cm_long;26.6984890089;1314.54
590803;Modification;cm_long;5.9036677232;664.32
8283266;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590896;Modification;cm_long;38.4532282593;1017.08
590360;Modification;cm_long;4.2712102828;1017.08
590259;Modification;cm_long;72.1231349742;1017.08
561360;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
561879;Modification;cm_long;448.25712472;456.63
590793;Modification;cm_long;80.7240330022;504.64
590200;Modification;cm_long;120.431410918;170.48
1985459;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590864;Modification;cm_long;3.6528794615;1017.08
590774;Modification;cm_long;29.9857683859;1314.54
590834;Modification;cm_long;211.074809942;1234.78
590256;Modification;cm_long;24.4250014515;429.13
590915;Modification;cm_long;2.0830716973;1314.54
590842;Modification;cm_long;14.7658556731;1017.08
590328;Modification;cm_long;10.6613916728;174.62
586003;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
8282619;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590220;Modification;cm_long;71.0132866989;137.75
590330;Modification;cm_long;46.153954963;174.62
8283289;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590453;Modification;cm_long;17.905079219;1314.54
590839;Modification;cm_long;1.0129584789;371.86
591022;Modification;cm_long;252.349746418;1626.5
8283286;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590317;Modification;cm_long;15.5987411179;252.41
590708;Modification;cm_long;254.25429297;425.07
590804;Modification;cm_long;16.922640262;664.32
590219;Modification;cm_long;66.7416598598;137.75
590845;Modification;cm_long;702.518997782;3241.22
590461;Modification;cm_long;32.6457598665;1314.54
591089;Modification;cm_long;54.8529556146;1017.08
8283255;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
8283288;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590377;Modification;cm_long;740.950992305;2213.85
590204;Modification;cm_long;20.1028569164;664.32
8319410;Modification;cm_long;75.7349634304;76.88700252
591038;Modification;cm_long;4.3719261049;252.26
590269;Modification;cm_long;6.2139416315;1017.08
590210;Modification;cm_long;9.0468631337;664.32
8283291;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590917;Modification;cm_long;30.0409015823;1314.54
590840;Modification;cm_long;7.2162055977;371.86
590408;Modification;cm_long;280.332166466;2390.73
8283267;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590397;Modification;cm_long;2738.7313822;3782.13
590406;Modification;cm_long;4.7987618392;453.94
590222;Modification;cm_long;39.0172988239;371.86
