cb_code;Type;Attribut;Valeur N-1;Valeur N
4610860;Modification;cb_lgreel;549.4486;641.4455
15113025;Modification;cb_lgreel;556.6979;557.9609
23346018;Modification;cb_lgreel;958.5007;1075.6808
23346017;Modification;cb_lgreel;961.3151;949.856
29285224;Modification;cb_lgreel;565.4427;611.5262
16653169;Modification;cb_lgreel;428.6789;312.5527
21625714;Modification;cb_lgreel;693.1711;701.6804
16653176;Modification;cb_lgreel;514.2178;508.9668
29268897;Modification;cb_lgreel;1469.2286;1478.2576
29268899;Modification;cb_lgreel;1228.0119;1216.2718
33364903;Modification;cb_lgreel;1137.2127;1135.5928
21912417;Modification;cb_lgreel;990.2737;976.3025
4602826;Modification;cb_lgreel;68.1221;171.758
7166951;Modification;cb_lgreel;146.7463;405.5151
17333217;Modification;cb_lgreel;598.9156;585.9834
4604396;Modification;cb_lgreel;265.9397;267.2049
23845873;Modification;cb_lgreel;932.1018;921.3264
23845874;Modification;cb_lgreel;618.9533;726.7723
17398792;Modification;cb_lgreel;1074.271;1111.1854
14842913;Modification;cb_lgreel;818.1439;845.4818
14842914;Modification;cb_lgreel;987.4658;982.6904
14842916;Modification;cb_lgreel;835.6286;1225.3865
32308271;Modification;cb_lgreel;13.2723;14.4434
4611164;Modification;cb_lgreel;14.2232;17.4908
4602989;Modification;cb_lgreel;133.0602;134.2688
18568083;Modification;cb_lgreel;769.7155;802.8743
18390145;Modification;cb_lgreel;1430.8939;1451.1568
4594839;Modification;cb_lgreel;156.7378;206.2748
33995937;Modification;cb_lgreel;1057.3884;1081.2837
29162674;Modification;cb_lgreel;440.7393;442.325
15580343;Modification;cb_lgreel;437.9968;435.7547
15580344;Modification;cb_lgreel;963.3114;837.9277
15580345;Modification;cb_lgreel;485.6957;862.7599
4603083;Modification;cb_lgreel;261.3609;263.0169
13114581;Modification;cb_lgreel;241.4826;242.6828
8453361;Modification;cb_lgreel;755.3147;562.3587
4594965;Modification;cb_lgreel;1083.7924;1082.6054
4594979;Modification;cb_lgreel;86.3352;87.5149
30276902;Modification;cb_lgreel;524.4103;536.9089
33963313;Modification;cb_lgreel;547.3425;568.4856
19406130;Modification;cb_lgreel;811.0589;827.3211
19406129;Modification;cb_lgreel;601.4408;602.703
6864210;Modification;cb_lgreel;194.6179;212.0776
30342499;Modification;cb_lgreel;446.9305;448.2774
30342500;Modification;cb_lgreel;614.657;613.5173
4636029;Modification;cb_lgreel;302.5859;303.7971
4611471;Modification;cb_lgreel;591.0004;589.8657
11443666;Modification;cb_lgreel;149.9416;147.5554
17432033;Modification;cb_lgreel;775.5745;787.8115
17432034;Modification;cb_lgreel;669.309;704.1828
33013221;Modification;cb_lgreel;1028.3385;1042.1167
4595235;Modification;cb_lgreel;992.6759;991.6548
7224865;Modification;cb_lgreel;435.1602;388.5049
4636197;Modification;cb_lgreel;793.3573;792.2925
4603448;Modification;cb_lgreel;1124.6646;1122.0209
4603465;Modification;cb_lgreel;790.7336;789.2327
4603467;Modification;cb_lgreel;18.0964;19.3282
