bp_code;Type
IRS - N-1 POP CG94 VALEO - BPE 1;Ajout
IRISE - 74 AV DE LA REPUBLIQUE (AUBERVILLIERS) - BPE 3;Ajout
BI CHAVILLE (GARE) - BPE 1;Ajout
IRS - 35 AV HENRI BARBUSSE (L'HAY LES ROSES) - BPE 1;Ajout
N-1 URA SUCY EN BRIE - GENERAL GRAND VAL - BPE 1;Ajout
IRS - IMPASSE JAURES (IVRY) - BPE 1;Ajout
IRS - ADAMOV-REPUBLIQUE - BPE 1;Ajout
IRS - FT 866 - 209 BD PASTEUR (LES PAVILLONS SOUS BOIS) - BPE 1;Ajout
IRS - 43 AV ARISTIDE BRIAND (ANTONY) - BPE 1;Ajout
IRS - RUE ARTHUR NEIBECKER (DUGNY) - BPE 1;Ajout
IRS - FT2680 RUE DES RUFFINS (MONTREUIL) BPE 1;Ajout
IRS - FT 1999 -  AVENUE DE LA BANQUE  (ST MAUR DES FOSSES) - BPE 1;Ajout
IRS - PLACE DE GAULLE-BOBET (FONTENAY SOUS BOIS) - BPE 1;Ajout
IRS - BI 83_LGTS (D26) - BPE 1;Ajout
IRS - FT 836 -  40  AVENUE DE STALINGRAD (VILLEJUIF) - BPE1;Ajout
IRS-RUE DES ECOLES ST OUEN - BPE 1;Ajout
IRS - 105 AV ARISTIDE BRIAND - RN20 MONTROUGE - BPE 1;Ajout
IRS - BI CHAUFFERIE_LES_SORBIERS (A06) - BPE 1;Ajout
IRISE - FT 766 - 24 RUE DES COURTS SILLONS - BPE 1;Ajout
IRS - AV SALOMON - BPE 1;Ajout
15 RUE DES OZIERS (SAINT OUEN L'AUMONE) - BPE 1;Ajout
IRS - FT399 - AVENUE AUGUSTE RODIN (NOISY LE GRAND)  - BPE 1;Ajout
IRS -  EN FACE 1 AV MONTAIGNE - BPE 1;Ajout
BI 5 PLACE JB CLEMENT(VILLETANEUSE) - BPE 1;Ajout
IRS - FT 99 - AV DU 14 JUILLET (BONDY) - BPE 1;Ajout
IRS - 105 RUE GUY MOQUET (CHAMPIGNY/MARNE) - BPE1;Ajout
IRS - RUE MARCEL VIGNERON - BPE 1;Ajout
IRS - FT 184 - 91 RUE BOUCICAUT (FONTENAY AUX ROSES) - BPE 1;Ajout
IRS - BI N-1 HOTEL L AMANDIER(NANTERRE) - BPE 1;Ajout
IRS - RUE DES VANESSES(VILLEPINTE) - BPE 1;Ajout
BI-01 - POP QUAI OUEST BOULOGNE;Ajout
IRS - BI FOYER_ADEF (D54) - BPE 1;Ajout
BI COLLEGE VICTOR HUGO (CRETEIL) - BPE 1;Ajout
IRS - 79 AV ROBINSON - BPE 1;Ajout
CH COLT CAA CHEVILLY LARUE - BPE 1;Ajout
PRC OPALYS RUE FAIDHERBE (NANTERRE) - BPE 1;Ajout
IRS - 7 RUE BOILEAU (MONTROUGE) - BPE 1;Ajout
IRS - ?? RD40 ZAC DE VILLEPINTE - BPE 1;Ajout
IRS - FT 269 - 88 RUE VERON (ALFORTVILLE) - BPE 1;Ajout
IRS - FT77 - 52 AVENUE CHARLES GIDE (LE KREMLIN-BICETRE) - BPE 1;Ajout
PRC CAM 72-73 A ROSNY SOUS BOIS_FT79;Ajout
IRS - BI PISCINE_HAY (D18) - BPE 1;Ajout
