pt_code;Attribut;Valeur N-1;Valeur N;Type
8201912;;;;Ajout
7912667;;;;Ajout
7800367;;;;Ajout
7859238;;;;Ajout
7803196;;;;Ajout
8005116;;;;Ajout
7915878;;;;Ajout
7783072;;;;Ajout
7991457;;;;Ajout
7811850;;;;Ajout
7899875;;;;Ajout
7795515;;;;Ajout
7782727;;;;Ajout
7798446;;;;Ajout
7991684;;;;Ajout
7679668;;;;Ajout
7861483;;;;Ajout
7871384;;;;Ajout
7790077;;;;Ajout
7915877;;;;Ajout
7850261;;;;Ajout
7991398;;;;Ajout
7876846;;;;Ajout
7883529;;;;Ajout
7827232;;;;Ajout
7855710;;;;Ajout
7859400;;;;Ajout
7859322;;;;Ajout
7834230;;;;Ajout
7859418;;;;Ajout
7873591;;;;Ajout
7926412;;;;Ajout
7883255;;;;Ajout
7991674;;;;Ajout
7991369;;;;Ajout
7876786;;;;Ajout
7783027;;;;Ajout
7859236;;;;Ajout
7886385;;;;Ajout
7963542;;;;Ajout
7803186;;;;Ajout
7782734;;;;Ajout
7832640;;;;Ajout
7783045;;;;Ajout
7859362;;;;Ajout
7837796;;;;Ajout
8007025;;;;Ajout
7902712;;;;Ajout
7873276;;;;Ajout
7834227;;;;Ajout
7837764;;;;Ajout
7850274;;;;Ajout
7837753;;;;Ajout
7827224;;;;Ajout
7783107;;;;Ajout
7830088;;;;Ajout
7838423;;;;Ajout
7796197;;;;Ajout
7899844;;;;Ajout
7855696;;;;Ajout
7973757;;;;Ajout
7833275;;;;Ajout
7991365;;;;Ajout
7855665;;;;Ajout
7926403;;;;Ajout
7848010;;;;Ajout
7883185;;;;Ajout
7783117;;;;Ajout
7887674;;;;Ajout
7847993;;;;Ajout
7905270;;;;Ajout
7837761;;;;Ajout
7991380;;;;Ajout
7888948;;;;Ajout
7899867;;;;Ajout
7838105;;;;Ajout
7827260;;;;Ajout
7800307;;;;Ajout
7861471;;;;Ajout
7906553;;;;Ajout
7915835;;;;Ajout
7915875;;;;Ajout
7915831;;;;Ajout
7871756;;;;Ajout
7887678;;;;Ajout
7850231;;;;Ajout
7783063;;;;Ajout
7827203;;;;Ajout
7991450;;;;Ajout
7795872;;;;Ajout
7877116;;;;Ajout
7861450;;;;Ajout
7840962;;;;Ajout
7859396;;;;Ajout
7850310;;;;Ajout
7873268;;;;Ajout
8000316;;;;Ajout
7798457;;;;Ajout
7838066;;;;Ajout
7994545;;;;Ajout
7850307;;;;Ajout
7859344;;;;Ajout
7798447;;;;Ajout
7899856;;;;Ajout
7830095;;;;Ajout
7871356;;;;Ajout
7991422;;;;Ajout
7883249;;;;Ajout
7877126;;;;Ajout
7861474;;;;Ajout
7803206;;;;Ajout
7789132;;;;Ajout
7991389;;;;Ajout
7782736;;;;Ajout
7859333;;;;Ajout
7901105;;;;Ajout
7963547;;;;Ajout
7902738;;;;Ajout
7912728;;;;Ajout
7859210;;;;Ajout
7855700;;;;Ajout
7798434;;;;Ajout
7789192;;;;Ajout
7905267;;;;Ajout
7837797;;;;Ajout
7800349;;;;Ajout
7855724;;;;Ajout
7991032;;;;Ajout
7859358;;;;Ajout
7790385;;;;Ajout
7798438;;;;Ajout
7915861;;;;Ajout
7798394;;;;Ajout
7883199;;;;Ajout
7991440;;;;Ajout
7859391;;;;Ajout
7963522;;;;Ajout
7876841;;;;Ajout
7991382;;;;Ajout
7883830;;;;Ajout
